electrode,j,T,V_rev,eta_act,eta_ohm,eta_conc,V_cell,model_act,j0_T,r_total,j_lim
Ni-OER-Lee2022,1.8364406779661018,313.15,1.2426703196552151,0.10815336245165741,2.626200229482129,0.0061760999801977814,3.9832000115691995,butler-volmer,0.00019742787243353705,1.430049040511727,5.0
Ni-OER-Lee2022,1.912542372881356,313.15,1.2426703196552151,0.10863393713500777,2.735029385277005,0.00650464161614476,4.092838283683372,butler-volmer,0.00019742787243353705,1.430049040511727,5.0
Ni-OER-Lee2022,1.9886440677966104,313.15,1.2426703196552151,0.10909575752044717,2.8438585410718806,0.006841383253344548,4.202466001500887,butler-volmer,0.00019742787243353705,1.430049040511727,5.0
Ni-OER-Lee2022,2.064745762711864,313.15,1.2426703196552151,0.10954023255879256,2.9526876968667555,0.007186744716661591,4.312084993797424,butler-volmer,0.00019742787243353705,1.430049040511727,5.0
Ni-OER-Lee2022,2.1408474576271184,313.15,1.2426703196552151,0.10996861815738385,3.0615168526616308,0.007541178921277926,4.421696969395507,butler-volmer,0.00019742787243353705,1.430049040511727,5.0
Ni-OER-Lee2022,2.216949152542373,313.15,1.2426703196552151,0.11038203857299769,3.170346008456507,0.007905175444283357,4.531303542129003,butler-volmer,0.00019742787243353705,1.430049040511727,5.0
Ni-OER-Lee2022,2.293050847457627,313.15,1.2426703196552151,0.11078150419267069,3.2791751642513822,0.008279264591533315,4.640906252690802,butler-volmer,0.00019742787243353705,1.430049040511727,5.0
Ni-OER-Lee2022,2.369152542372881,313.15,1.2426703196552151,0.11116792641044948,3.388004320046257,0.008664022044544717,4.750506588156466,butler-volmer,0.00019742787243353705,1.430049040511727,5.0
Ni-OER-Lee2022,2.4452542372881356,313.15,1.2426703196552151,0.11154213015128148,3.4968334758411332,0.009060074189626007,4.8601059998372556,butler-volmer,0.00019742787243353705,1.430049040511727,5.0
Ni-OER-Lee2022,2.52135593220339,313.15,1.2426703196552151,0.11190486447493467,3.6056626316360085,0.009468104253081496,4.96970592001924,butler-volmer,0.00019742787243353705,1.430049040511727,5.0
Ni-OER-Lee2022,2.5974576271186436,313.15,1.2426703196552151,0.11225681160267142,3.7144917874308834,0.009888859393376909,5.079307778082147,butler-volmer,0.00019742787243353705,1.430049040511727,5.0
Ni-OER-Lee2022,2.6735593220338982,313.15,1.2426703196552151,0.11259859464008609,3.8233209432257595,0.010323158935168246,5.18891301645623,butler-volmer,0.00019742787243353705,1.430049040511727,5.0
