electrode,T,j,step_name,expression,result,values
Ni-HER-Lee2022,293.15,0.39050847457627125,Potencial reversible (aprox. lineal),V_rev = V_ref + (ΔS/(nF))·(T - T_ref),1.2257765601149282,"{'V_ref': 1.23, 'ΔS_ref': 163.0, 'n': 2, 'F': 96485.33212, 'T': 293.15, 'T_ref': 298.15, 'slope': 0.0008446879770143449}"
Ni-HER-Lee2022,293.15,0.39050847457627125,j0(T) Ni-HER-Lee2022,j0 = j0_ref * exp(-Ea/R * (1/T - 1/Tref)),0.00014398085933793194,"{'j0_ref': 0.00234, 'Ea': 40000.0, 'R': 8.314462618, 'T': 293.15, 'T_ref': 353.15}"
Ni-HER-Lee2022,293.15,0.39050847457627125,η_act BV Ni-HER-Lee2022,j = j0[exp(α_a nFη/RT) - exp(-α_c nFη/RT)],0.12801736462992308,"{'alpha_a': 0.78, 'alpha_c': 1.22, 'n': 2, 'F': 96485.33212, 'R': 8.314462618, 'T': 293.15, 'beta_a': 61.75353324008439, 'beta_c': 96.58885968320891, 'j': 0.39050847457627125, 'j0': 0.00014398085933793194, 'eta': 0.12801736462992308}"
Ni-HER-Lee2022,293.15,0.39050847457627125,R capa separador_Zirfon_efectivo,R = delta / kappa(T),6.628242074927953e-05,"{'delta': 0.00046, 'kappa_ref': 13.2, 'Ea_kappa': 24500, 'T': 293.15, 'T_ref': 353.15, 'kappa(T)': 6.94}"
Ni-HER-Lee2022,293.15,0.39050847457627125,Perdida ohmica total,η_ohm = j · R_total,0.5584530024910859,"{'j': 0.39050847457627125, 'R_total': 1.4300662824207493}"
Ni-HER-Lee2022,293.15,0.39050847457627125,j_lim (Arrhenius),j_lim = j_lim_ref * exp(-Ea/R * (1/T - 1/Tref)),5.0,"{'j_lim_ref': 5.0, 'Ea': 0.0, 'R': 8.314462618, 'T': 293.15, 'T_ref': 298.15}"
Ni-HER-Lee2022,293.15,0.39050847457627125,η_conc,η = -(RT/(nF))·ln(1 - j/j_lim),0.0010271457716437996,"{'R': 8.314462618, 'T': 293.15, 'n': 2, 'F': 96485.33212, 'j': 0.39050847457627125, 'j_lim': 5.0, 'prefactor': 0.012630856229189812}"
Ni-HER-Lee2022,293.15,0.39050847457627125,V_cell,V = V_rev + η_act + η_ohm + η_conc,1.913274073007581,"{'V_rev': 1.2257765601149282, 'eta_act': 0.12801736462992308, 'eta_ohm': 0.5584530024910859, 'eta_conc': 0.0010271457716437996}"
Ni-HER-Lee2022,293.15,0.46661016949152545,Potencial reversible (aprox. lineal),V_rev = V_ref + (ΔS/(nF))·(T - T_ref),1.2257765601149282,"{'V_ref': 1.23, 'ΔS_ref': 163.0, 'n': 2, 'F': 96485.33212, 'T': 293.15, 'T_ref': 298.15, 'slope': 0.0008446879770143449}"
Ni-HER-Lee2022,293.15,0.46661016949152545,j0(T) Ni-HER-Lee2022,j0 = j0_ref * exp(-Ea/R * (1/T - 1/Tref)),0.00014398085933793194,"{'j0_ref': 0.00234, 'Ea': 40000.0, 'R': 8.314462618, 'T': 293.15, 'T_ref': 353.15}"
Ni-HER-Lee2022,293.15,0.46661016949152545,η_act BV Ni-HER-Lee2022,j = j0[exp(α_a nFη/RT) - exp(-α_c nFη/RT)],0.13090051112225837,"{'alpha_a': 0.78, 'alpha_c': 1.22, 'n': 2, 'F': 96485.33212, 'R': 8.314462618, 'T': 293.15, 'beta_a': 61.75353324008439, 'beta_c': 96.58885968320891, 'j': 0.46661016949152545, 'j0': 0.00014398085933793194, 'eta': 0.13090051112225837}"
Ni-HER-Lee2022,293.15,0.46661016949152545,R capa separador_Zirfon_efectivo,R = delta / kappa(T),6.628242074927953e-05,"{'delta': 0.00046, 'kappa_ref': 13.2, 'Ea_kappa': 24500, 'T': 293.15, 'T_ref': 353.15, 'kappa(T)': 6.94}"
Ni-HER-Lee2022,293.15,0.46661016949152545,Perdida ohmica total,η_ohm = j · R_total,0.6672834704244616,"{'j': 0.46661016949152545, 'R_total': 1.4300662824207493}"
Ni-HER-Lee2022,293.15,0.46661016949152545,j_lim (Arrhenius),j_lim = j_lim_ref * exp(-Ea/R * (1/T - 1/Tref)),5.0,"{'j_lim_ref': 5.0, 'Ea': 0.0, 'R': 8.314462618, 'T': 293.15, 'T_ref': 298.15}"
Ni-HER-Lee2022,293.15,0.46661016949152545,η_conc,η = -(RT/(nF))·ln(1 - j/j_lim),0.0012374190387934466,"{'R': 8.314462618, 'T': 293.15, 'n': 2, 'F': 96485.33212, 'j': 0.46661016949152545, 'j_lim': 5.0, 'prefactor': 0.012630856229189812}"
Ni-HER-Lee2022,293.15,0.46661016949152545,V_cell,V = V_rev + η_act + η_ohm + η_conc,2.025197960700442,"{'V_rev': 1.2257765601149282, 'eta_act': 0.13090051112225837, 'eta_ohm': 0.6672834704244616, 'eta_conc': 0.0012374190387934466}"
Ni-HER-Lee2022,293.15,0.5427118644067797,Potencial reversible (aprox. lineal),V_rev = V_ref + (ΔS/(nF))·(T - T_ref),1.2257765601149282,"{'V_ref': 1.23, 'ΔS_ref': 163.0, 'n': 2, 'F': 96485.33212, 'T': 293.15, 'T_ref': 298.15, 'slope': 0.0008446879770143449}"
Ni-HER-Lee2022,293.15,0.5427118644067797,j0(T) Ni-HER-Lee2022,j0 = j0_ref * exp(-Ea/R * (1/T - 1/Tref)),0.00014398085933793194,"{'j0_ref': 0.00234, 'Ea': 40000.0, 'R': 8.314462618, 'T': 293.15, 'T_ref': 353.15}"
Ni-HER-Lee2022,293.15,0.5427118644067797,η_act BV Ni-HER-Lee2022,j = j0[exp(α_a nFη/RT) - exp(-α_c nFη/RT)],0.13334708187160677,"{'alpha_a': 0.78, 'alpha_c': 1.22, 'n': 2, 'F': 96485.33212, 'R': 8.314462618, 'T': 293.15, 'beta_a': 61.75353324008439, 'beta_c': 96.58885968320891, 'j': 0.5427118644067797, 'j0': 0.00014398085933793194, 'eta': 0.13334708187160677}"
Ni-HER-Lee2022,293.15,0.5427118644067797,R capa separador_Zirfon_efectivo,R = delta / kappa(T),6.628242074927953e-05,"{'delta': 0.00046, 'kappa_ref': 13.2, 'Ea_kappa': 24500, 'T': 293.15, 'T_ref': 353.15, 'kappa(T)': 6.94}"
Ni-HER-Lee2022,293.15,0.5427118644067797,Perdida ohmica total,η_ohm = j · R_total,0.7761139383578372,"{'j': 0.5427118644067797, 'R_total': 1.4300662824207493}"
