electrode,j,T,V_rev,eta_act,eta_ohm,eta_conc,V_cell,model_act,j0_T,r_total,j_lim,electrode_label
Ni-HER,0.13122448979591836,333.0,1.25943737599895,0.02518089258313655,0.007688928796310252,0.00028645321831502073,1.2925936505967117,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.15142857142857144,333.0,1.25943737599895,0.02929024932719734,0.008872760757172951,0.00033106972154108526,1.2979314558048614,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.1716326530612245,333.0,1.25943737599895,0.03288417062234072,0.01005659271803565,0.00037582539837425084,1.3027539647377004,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.19183673469387758,333.0,1.25943737599895,0.036077666061302985,0.01124042467889835,0.00042072111978896156,1.30717618785894,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.21204081632653063,333.0,1.25943737599895,0.03895108658806498,0.012424256639761048,0.00046575776496141167,1.3112784769917372,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.23224489795918368,333.0,1.25943737599895,0.04156278802517041,0.013608088600623744,0.0005109362213728555,1.315119188846117,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.2524489795918367,333.0,1.25943737599895,0.04395649192787921,0.01479192056148644,0.0005562573849145318,1.31874204587323,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.2726530612244898,333.0,1.25943737599895,0.04616580356316914,0.015975752522349142,0.0006017221599942649,1.3221806542444625,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.29285714285714287,333.0,1.25943737599895,0.04821711060801028,0.01715958448321184,0.0006473314596447623,1.3254614025498166,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.3130612244897959,333.0,1.25943737599895,0.05013151265908261,0.018343416444074535,0.0006930862056336214,1.3286053913077407,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
