electrode,T,j,step_name,expression,result,values
Ni-HER,298.0,0.15142857142857144,j_lim (Arrhenius),j_lim = j_lim_ref * exp(-Ea/R * (1/T - 1/Tref)),3.9902653971846744,"{'j_lim_ref': 4.0, 'Ea': 12000.0, 'R': 8.314462618, 'T': 298.0, 'T_ref': 298.15}"
Ni-HER,298.0,0.15142857142857144,η_conc,η = -(RT/(nF))·ln(1 - j/j_lim),0.0004967514923365578,"{'R': 8.314462618, 'T': 298.0, 'n': 2, 'F': 96485.33212, 'j': 0.15142857142857144, 'j_lim': 3.9902653971846744, 'prefactor': 0.012839826560800151}"
Ni-HER,298.0,0.15142857142857144,V_cell,V = V_rev + η_act + η_ohm + η_conc,1.3138143048399522,"{'V_rev': 1.2298732968034478, 'eta_act': 0.06978520065696585, 'eta_ohm': 0.013659055887201742, 'eta_conc': 0.0004967514923365578}"
Ni-HER,298.0,0.1716326530612245,Potencial reversible (aprox. lineal),V_rev = V_ref + (ΔS/(nF))·(T - T_ref),1.2298732968034478,"{'V_ref': 1.23, 'ΔS_ref': 163.0, 'n': 2, 'F': 96485.33212, 'T': 298.0, 'T_ref': 298.15, 'slope': 0.0008446879770143449}"
Ni-HER,298.0,0.1716326530612245,j0(T) Ni-HER,j0 = j0_ref * exp(-Ea/R * (1/T - 1/Tref)),0.01,"{'j0_ref': 0.01, 'Ea': 40000.0, 'R': 8.314462618, 'T': 298.0, 'T_ref': 298.0}"
Ni-HER,298.0,0.1716326530612245,η_act Tafel Ni-HER,η = (RT/(α·nF))·ln(j/j0),0.0730013824766437,"{'R': 8.314462618, 'T': 298.0, 'alpha': 0.5, 'n': 2, 'F': 96485.33212, 'j': 0.1716326530612245, 'j0': 0.01, 'prefactor': 0.025679653121600303}"
Ni-HER,298.0,0.1716326530612245,R capa membrana,R = delta / kappa(T),0.05015252070648465,"{'delta': 0.005, 'kappa_ref': 0.1, 'Ea_kappa': 15000, 'T': 298.0, 'T_ref': 298.15, 'kappa(T)': 0.0996958862598806}"
Ni-HER,298.0,0.1716326530612245,R capa electrolito,R = delta / kappa(T),0.020048791756168367,"{'delta': 0.01, 'kappa_ref': 0.5, 'Ea_kappa': 12000, 'T': 298.0, 'T_ref': 298.15, 'kappa(T)': 0.4987831746480843}"
Ni-HER,298.0,0.1716326530612245,Perdida ohmica total,η_ohm = j · R_total,0.015481490567569629,"{'j': 0.1716326530612245, 'R_total': 0.090201312462653}"
Ni-HER,298.0,0.1716326530612245,j_lim (Arrhenius),j_lim = j_lim_ref * exp(-Ea/R * (1/T - 1/Tref)),3.9902653971846744,"{'j_lim_ref': 4.0, 'Ea': 12000.0, 'R': 8.314462618, 'T': 298.0, 'T_ref': 298.15}"
Ni-HER,298.0,0.1716326530612245,η_conc,η = -(RT/(nF))·ln(1 - j/j_lim),0.0005645069051664246,"{'R': 8.314462618, 'T': 298.0, 'n': 2, 'F': 96485.33212, 'j': 0.1716326530612245, 'j_lim': 3.9902653971846744, 'prefactor': 0.012839826560800151}"
Ni-HER,298.0,0.1716326530612245,V_cell,V = V_rev + η_act + η_ohm + η_conc,1.3189206767528276,"{'V_rev': 1.2298732968034478, 'eta_act': 0.0730013824766437, 'eta_ohm': 0.015481490567569629, 'eta_conc': 0.0005645069051664246}"
Ni-HER,298.0,0.19183673469387758,Potencial reversible (aprox. lineal),V_rev = V_ref + (ΔS/(nF))·(T - T_ref),1.2298732968034478,"{'V_ref': 1.23, 'ΔS_ref': 163.0, 'n': 2, 'F': 96485.33212, 'T': 298.0, 'T_ref': 298.15, 'slope': 0.0008446879770143449}"
Ni-HER,298.0,0.19183673469387758,j0(T) Ni-HER,j0 = j0_ref * exp(-Ea/R * (1/T - 1/Tref)),0.01,"{'j0_ref': 0.01, 'Ea': 40000.0, 'R': 8.314462618, 'T': 298.0, 'T_ref': 298.0}"
Ni-HER,298.0,0.19183673469387758,η_act Tafel Ni-HER,η = (RT/(α·nF))·ln(j/j0),0.07585922524184116,"{'R': 8.314462618, 'T': 298.0, 'alpha': 0.5, 'n': 2, 'F': 96485.33212, 'j': 0.19183673469387758, 'j0': 0.01, 'prefactor': 0.025679653121600303}"
Ni-HER,298.0,0.19183673469387758,R capa membrana,R = delta / kappa(T),0.05015252070648465,"{'delta': 0.005, 'kappa_ref': 0.1, 'Ea_kappa': 15000, 'T': 298.0, 'T_ref': 298.15, 'kappa(T)': 0.0996958862598806}"
Ni-HER,298.0,0.19183673469387758,R capa electrolito,R = delta / kappa(T),0.020048791756168367,"{'delta': 0.01, 'kappa_ref': 0.5, 'Ea_kappa': 12000, 'T': 298.0, 'T_ref': 298.15, 'kappa(T)': 0.4987831746480843}"
Ni-HER,298.0,0.19183673469387758,Perdida ohmica total,η_ohm = j · R_total,0.01730392524793752,"{'j': 0.19183673469387758, 'R_total': 0.090201312462653}"
Ni-HER,298.0,0.19183673469387758,j_lim (Arrhenius),j_lim = j_lim_ref * exp(-Ea/R * (1/T - 1/Tref)),3.9902653971846744,"{'j_lim_ref': 4.0, 'Ea': 12000.0, 'R': 8.314462618, 'T': 298.0, 'T_ref': 298.15}"
Ni-HER,298.0,0.19183673469387758,η_conc,η = -(RT/(nF))·ln(1 - j/j_lim),0.0006326217590517792,"{'R': 8.314462618, 'T': 298.0, 'n': 2, 'F': 96485.33212, 'j': 0.19183673469387758, 'j_lim': 3.9902653971846744, 'prefactor': 0.012839826560800151}"
Ni-HER,298.0,0.19183673469387758,V_cell,V = V_rev + η_act + η_ohm + η_conc,1.323669069052278,"{'V_rev': 1.2298732968034478, 'eta_act': 0.07585922524184116, 'eta_ohm': 0.01730392524793752, 'eta_conc': 0.0006326217590517792}"
Ni-HER,298.0,0.21204081632653063,Potencial reversible (aprox. lineal),V_rev = V_ref + (ΔS/(nF))·(T - T_ref),1.2298732968034478,"{'V_ref': 1.23, 'ΔS_ref': 163.0, 'n': 2, 'F': 96485.33212, 'T': 298.0, 'T_ref': 298.15, 'slope': 0.0008446879770143449}"
Ni-HER,298.0,0.21204081632653063,j0(T) Ni-HER,j0 = j0_ref * exp(-Ea/R * (1/T - 1/Tref)),0.01,"{'j0_ref': 0.01, 'Ea': 40000.0, 'R': 8.314462618, 'T': 298.0, 'T_ref': 298.0}"
Ni-HER,298.0,0.21204081632653063,η_act Tafel Ni-HER,η = (RT/(α·nF))·ln(j/j0),0.07843063460212668,"{'R': 8.314462618, 'T': 298.0, 'alpha': 0.5, 'n': 2, 'F': 96485.33212, 'j': 0.21204081632653063, 'j0': 0.01, 'prefactor': 0.025679653121600303}"
Ni-HER,298.0,0.21204081632653063,R capa membrana,R = delta / kappa(T),0.05015252070648465,"{'delta': 0.005, 'kappa_ref': 0.1, 'Ea_kappa': 15000, 'T': 298.0, 'T_ref': 298.15, 'kappa(T)': 0.0996958862598806}"
Ni-HER,298.0,0.21204081632653063,R capa electrolito,R = delta / kappa(T),0.020048791756168367,"{'delta': 0.01, 'kappa_ref': 0.5, 'Ea_kappa': 12000, 'T': 298.0, 'T_ref': 298.15, 'kappa(T)': 0.4987831746480843}"
Ni-HER,298.0,0.21204081632653063,Perdida ohmica total,η_ohm = j · R_total,0.019126359928305404,"{'j': 0.21204081632653063, 'R_total': 0.090201312462653}"
Ni-HER,298.0,0.21204081632653063,j_lim (Arrhenius),j_lim = j_lim_ref * exp(-Ea/R * (1/T - 1/Tref)),3.9902653971846744,"{'j_lim_ref': 4.0, 'Ea': 12000.0, 'R': 8.314462618, 'T': 298.0, 'T_ref': 298.15}"
Ni-HER,298.0,0.21204081632653063,η_conc,η = -(RT/(nF))·ln(1 - j/j_lim),0.0007010998879956109,"{'R': 8.314462618, 'T': 298.0, 'n': 2, 'F': 96485.33212, 'j': 0.21204081632653063, 'j_lim': 3.9902653971846744, 'prefactor': 0.012839826560800151}"
